x to x + n,qx,Ix,dx,Lx,Tx,ex
70-71,0.031167704247160317,68981.84136042364,2150.0056299462153,67906.83854545053,896979.7294793212,13.003128240556617
71-72,0.03399449660003827,66831.83573047743,2271.914612514031,65695.87842422041,829072.8909338706,12.40535864191124
72-73,0.037067859117077585,64559.92111796339,2393.098060610309,63363.37208765824,763377.0125096502,11.82431761517821
73-74,0.040407454578951583,62166.82305735308,2512.003079007715,60910.821517849225,700013.6404219919,11.260244709242777
74-75,0.04403416897345077,59654.81997834537,2626.8504230072467,58341.394766841746,639102.8189041427,10.713347540670416
75-76,0.047970121721523595,57027.969555338124,2735.6386411009116,55660.15023478767,580761.4241373009,10.183799785713019
76-77,0.052238661199438194,54292.33091423721,2836.158680356622,52874.2515740589,525101.2739025133,9.671739360978785
77-78,0.056864342375511086,51456.172233880585,2926.0213952406525,49993.16153626026,472227.0223284544,9.177266823930662
78-79,0.06187288303319031,48530.15083863993,3002.7003464222507,47028.800665428804,422233.86079219414,8.700444022852894
79-80,0.0672910947264538,45527.45049221768,3063.591983725755,43995.6545003548,375205.06012676534,8.241293023664959
80-81,0.07314678432983908,42463.858508491925,3106.094700133461,40910.8111584252,331209.40562641056,7.799795337961935
81-82,0.0794686218307118,39357.76380835846,3127.7072481889136,37793.910184264,290298.5944679854,7.375891472938163
82-83,0.08628596989821723,36230.05656016955,3126.1455697614974,34666.9837752888,252504.68428372138,6.969480819450857
83-84,0.09362867079016497,33103.910990408054,3099.47518398784,31554.173398414136,217837.70050843258,6.580421889472565
84-85,0.1015267863697172,30004.435806420213,3046.2539442623183,28481.308834289055,186283.52711001845,6.208532908662736
85-86,0.1100102874462853,26958.181862157897,2965.677335685225,25475.343194315283,157802.2182757294,5.853592763881516
86-87,0.11910868937984516,23992.504526472672,2857.7157690881627,22563.64664192859,132326.87508141412,5.5153422993172
87-88,0.12885063194454155,21134.78875738451,2723.230887403386,19773.17331368282,109763.22843948554,5.193485948665287
88-89,0.1392634028803728,18411.557869981123,2564.0562013024796,17129.52976932988,89990.05512580273,4.887693684656951
89-90,0.15037240640466876,15847.501668678644,2383.026961421211,14655.988187968038,72860.52535647285,4.597603261369331
90-91,0.1622005802240941,13464.474707257432,2183.945609929795,12372.501902292535,58204.53716850481,4.3228227193395234
91-92,0.17476776727369467,11280.529097327637,1971.4728840058974,10294.792655324689,45832.035266212275,4.062933118719574
92-93,0.18809005146899807,9309.056213321739,1750.9408622914823,8433.585782175998,35537.24261088759,3.817491461704997
93-94,0.2021790701056265,7558.1153510302565,1528.0927334223582,6794.068984319078,27103.656828711588,3.586033762373983
94-95,0.2170413190455014,6030.022617607899,1308.7640627998253,5375.6405862079855,20309.58784439251,3.3680782199867263
95=96,0.23267747030534455,4721.258554808073,1098.5304971902094,4171.9933062129685,14933.947258184526,3.1631284507763238
96-97,0.2490817248774534,3622.728057617864,902.355353353404,3171.550380941162,10761.953951971558,2.9706767333367314
97-98,0.26624122628768665,2720.37270426446,724.2753647429201,2358.235021893,7590.403571030396,2.79020722386005
98-99,0.2841355622264876,1996.0973395215399,567.1622398237489,1712.5162196096655,5232.1685491373955,2.621199099634858
99-100,0.3027363822660157,1428.935099697791,432.5906425754377,1212.639778410072,3519.65232952773,2.463129592290168
100-101,0.3220071589159288,996.3444571223533,320.8300479396024,835.9294331525521,2307.0125511176584,2.3154768761205164
101-102,0.3419031168490297,675.5144091827509,230.96048197601334,560.0341681947442,1471.0831179651063,2.177722781287298
102-103,0.36237135092150047,444.55392720673757,161.09360715936387,364.00712362705565,911.0489497703621,2.0493553065535814
103-104,0.38335114762947914,283.46032004737367,108.66483899758015,229.1279005485836,547.0418261433065,1.9298709112156558
104-105,0.40477451705158174,174.79548104979352,70.75275642472909,139.419102837429,317.91392559472285,1.8187765706835382
105-106,0.4265669334622731,104.04272462506444,44.38118599237347,81.8521316288777,178.49482275729386,1.7155915841355573
106-107,0.44864827316099704,59.66153863269097,26.767046281684916,46.278015491848514,96.64269112841616,1.6198491246328957
107-108,0.4709339282740592,32.89449235100606,15.491132501440276,25.14892610028592,50.36467563656765,1.531097519279007
108-109,0.4933360660563087,17.40335984956578,8.585705084347095,13.110507307392234,25.215749536281727,1.448901232534755
109-110,0.5157649952643198,8.817654765218686,4.547837668225423,6.543735931105974,12.105242228889493,1.3728414812336183
