x to x + 1,nqx,Ix,ndx,nLx,Tx,ex
38-39,0.0017211930594669311,96328.2103849803,165.79944714549845,96245.31066140755,3892433.3189831027,40.40803107860934
39-40,0.0018566007873780555,96162.4109378348,178.53520786335622,96073.14333390312,3796188.008321695,39.47683893632597
40-41,0.002008219781069542,95983.87572997143,192.75671790464935,95887.49737101911,3700114.864987792,38.54933796794385
41-42,0.002176743707523178,95791.11901206679,208.51271554612026,95686.86265429373,3604227.3676167727,37.62590316084259
42-43,0.002363047594427988,95582.60629652067,225.8662478781506,95469.67317258159,3508540.5049624788,36.70689303112458
43-44,0.002568192284593659,95356.74004864252,244.89444407692687,95234.29282660405,3413070.8317898973,35.792654300564934
44-45,0.002793427459270451,95111.84560456559,265.68804121368504,94979.00158395874,3317836.538963293,34.88352599903738
45-46,0.0030401945892549556,94846.15756335191,288.35077503572546,94701.98217583404,3222857.5373793347,33.97984293909478
46-47,0.0033101307254811588,94557.80678831619,312.9987015841163,94401.30743752413,3128155.5552035007,33.08193856702294
47-48,0.0036050737097426603,94244.80808673207,339.7594799132203,94074.92834677546,3033754.2477659765,32.19014722778212
48-49,0.003927069151905921,93905.04860681885,368.7716195920644,93720.66279702281,2939679.319419201,31.304805897366187
49-50,0.004278379361790534,93536.27698722678,400.18367704087393,93336.18514870634,2845958.6566221784,30.426255441092867
50-51,0.004661494322785542,93136.09331018591,434.1533702118561,92919.01662507998,2752622.471473472,29.55484145449366
51-52,0.005079144734143126,92701.93993997405,470.84657009097157,92466.51665492856,2659703.4548483924,28.690914737820933
52-53,0.005534317116876382,92231.09336988308,510.43611874516773,91975.8753105105,2567236.9381934637,27.834831447761662
53-54,0.006030270964431435,91720.6572511379,553.1004162601045,91444.10704300785,2475261.0628829533,26.986952962030205
54-55,0.0065705579165058385,91167.5568348778,599.0217122899023,90868.04597873286,2383816.9558399455,26.147645484868068
55-56,0.0071590429372809196,90568.5351225879,648.3840317092418,90244.34310673327,2292948.9098612126,25.317279414507706
56-57,0.007799927484204659,89920.15109087866,701.37065787758,89569.46576193986,2202704.5667544794,24.496228487519943
57-58,0.008497774657699785,89218.78043300108,758.1610913544381,88839.69988732386,2113135.1009925394,23.684868709670383
58-59,0.009257536323949201,88460.61934164664,818.927396794337,88051.15564324947,2024295.4011052155,22.883577078373353
59-60,0.010084582200902966,87641.69194485231,883.8298466440784,87199.77702153027,1936244.2454619661,22.092730097911954
60-61,0.010984730890835051,86757.86209820824,953.0117678129955,86281.35621430173,1849044.4684404358,21.31270208511308
61-62,0.011964282830291094,85804.85033039525,1026.5934975636449,85291.55358161342,1762763.1122261342,20.54386325992691
62-63,0.01303005510929786,84778.2568328316,1104.6653586020036,84225.92415353059,1677471.5586445208,19.786577612137172
63-64,0.014189418085416535,83673.5914742296,1187.2795721361883,83079.95168816151,1593245.6344909903,19.04120053197059
64-65,0.01545033368372285,82486.31190209341,1274.4410432269829,81849.09138047992,1510165.6828028287,18.30807618839002
65-66,0.01682139523008498,81211.87085886643,1366.0969770916133,80528.82237032062,1428316.5914223487,17.587534634001234
66-67,0.01799640318202139,79845.77388177482,1436.9367391569326,79127.30551219636,1347787.7690520282,16.87988860935403
67-68,0.01970051566058399,78408.83714261788,1544.694524056323,77636.48988058971,1268660.4635398318,16.180069871872536
68-69,0.021562450479000655,76864.14261856156,1657.3792688235774,76035.45298414977,1191023.973659242,15.495183229580801
69-70,0.023596124672263085,75206.76334973797,1774.5881641978033,74319.46926763907,1114988.5206750922,14.825641618028452
70-71,0.025816545026252066,73432.17518554017,1895.7650570531273,72484.2926570136,1040669.0514074531,14.171840188282692
71-72,0.028239866147379226,71536.41012848704,2020.1786466924975,70526.32080514079,968184.7587504395,13.534153545187355
72-73,0.030883445883053213,69516.23148179454,2146.900772961802,68442.78109531365,897658.4379452987,12.912932977104557
73-74,0.033765896540976253,67369.33070883274,2274.7858507492606,66231.93778345811,829215.6568499851,12.308503708220265
74-75,0.03690713004729075,65094.54485808348,2402.452832446488,63893.31844186023,762983.719066527,11.72116220690925
75-76,0.04032839484089346,62692.09202563699,2528.271440611517,61427.95630533123,699090.4006246667,11.15117358563795
76-77,0.044052301925668426,60163.82058502547,2650.354789413287,58838.64319031882,637662.4443193355,10.598769129333636
77-78,0.04810283709815593,57513.46579561218,2766.560876116696,56130.18535755383,578823.8011290167,10.064143989965848
78-79,0.05250535594251277,54746.904919495486,2874.505729549014,53309.65205472098,522693.61577146285,9.547455085179264
79-80,0.057286557748649394,51872.399189946475,2971.591191755863,50386.60359406854,469383.9637167419,9.048819238106773
80-81,0.0624744340790548,48900.80799819061,3055.050305695475,47373.282845342874,418997.36012267333,8.568311593914292
81-82,0.06809818730663446,45845.757692495135,3122.012994558111,44284.75119521608,371624.07727733045,8.105964346144171
82-83,0.07418811409812354,42723.74469793702,3169.594046349652,41138.947674762196,327339.32608211436,7.661765802516848
83-84,0.0807754485608789,39554.15065158737,3195.00426132655,37956.64852092409,286200.37840735214,7.235659815536109
84-85,0.08789215964855628,36359.14639026082,3195.683899218033,34761.30444065181,248243.72988642805,6.827545598070551
85-86,0.09557069748460735,33163.46249104279,3169.4552412735734,31578.734870406002,213482.42544577623,6.43727793813557
86-87,0.10384368357009577,29994.007249769216,3114.688197844193,28436.66315084712,181903.69057537022,6.064667820495037
87-88,0.11274354045779923,26879.319051925024,3030.4695950088026,25364.08425442062,153467.02742452308,5.709483455591194
88-89,0.12230205746409283,23848.84945691622,2916.763356732267,22390.467778550086,128102.94317010246,5.37145170887698
89-90,0.13254989041763024,20932.086100183955,2774.545718791784,19544.813240788062,105712.47539155238,5.050259916073217
90-91,0.14351599536467438,18157.54038139217,2605.8974812097663,16854.591640787286,86167.66215076431,4.745558062427269
