x to x + n,nqx,lx,ndx,nLx,Tx,ex
0-1,0.00488907909167406,100000.0,488.907909167406,99755.5460454163,8020236.957,80.20236957
1-2,0.0003986662453027782,99511.0920908326,39.671713449831216,99491.25623410768,7920481.410954584,79.593955251992
2-3,0.00022859360764208172,99471.42037738276,22.73853084134801,99460.0511119621,7820990.154720477,78.625499917952
3-4,0.00020652988453644222,99448.68184654141,20.539124779067574,99438.41228415188,7721530.103608515,77.64336299121145
4-5,0.00019942864382514508,99428.14272176234,19.828819661054034,99418.22831193182,7622091.691324363,76.65929869226127
5-6,0.00020070232266182464,99408.31390210129,19.951479492047483,99398.33816235527,7522673.463012432,75.67449006750951
6-7,0.00020152694337456347,99388.36242260924,20.029432886031763,99378.34770616623,7423275.124850077,74.68958079101424
7-8,0.00019477385913394666,99368.3329897232,19.354353692115453,99358.65581287714,7323896.7771439105,73.70453500413817
8-9,0.00017568016814654194,99348.97863603108,17.453645271965144,99340.2518133951,7224538.121331033,72.71879611161796
9-10,0.00014586607687006107,99331.52499075912,14.489099859922462,99324.28044082916,7125197.869517638,71.7314857511802
10-11,0.00011349206796284902,99317.03589089919,11.271695787198645,99311.40004300559,7025873.58907681,70.74187752436355
11-12,9.230894068536205e-05,99305.76419511199,9.166809896801144,99301.18079016359,6926562.189033804,69.74985032515104
12-13,9.82841981844118e-05,99296.59738521518,9.759286456446235,99291.71774198695,6827261.008243641,68.75624329560551
13-14,0.00014006285628912895,99286.83809875873,13.906398136028457,99279.88489969072,6727969.290501654,67.76295246515426
14-15,0.00020571464937558468,99272.9317006227,20.421896337279964,99262.72075245407,6628689.405601963,66.77237482612175
15-16,0.0002835251628993687,99252.50980428542,28.140584010431215,99238.43951228021,6529426.684849509,65.78601082959807
16-17,0.00035084359229811424,99224.369220275,34.81223414075571,99206.96310320462,6430188.245337229,64.80452630605706
17-18,0.0003923735357060221,99189.55698613424,38.91935717976345,99170.09730754436,6330981.282234024,63.827095055168314
18-19,0.00039652023602876297,99150.63762895447,39.315234235035376,99130.98001183696,6231811.18492648,62.851952684837144
19-20,0.00037331376739036415,99111.32239471943,36.99962115421368,99092.82258414233,6132680.204914643,61.87668630321279
20-21,0.0003419679081077068,99074.32277356522,33.88023890606383,99057.38265411218,6033587.382330501,60.899607622050475
21-22,0.00032039086512668566,99040.44253465916,31.731653066209244,99024.57670812606,5934529.99967639,59.92026941518969
22-23,0.00031047644070600653,99008.71088159295,30.73987215340704,98993.34094551625,5835505.422968264,58.939313228177404
23-24,0.00032023297297223776,98977.97100943954,31.696009915112786,98962.12300448198,5736512.082022747,57.95746289318918
24-25,0.0003454888192494865,98946.27499952442,34.18483171872068,98929.18258366507,5637549.959018265,56.975868561452785
25-26,0.0003771967259153791,98912.0901678057,37.309316564743064,98893.43550952333,5538620.776434599,55.99538708603018
26-27,0.00040931672107912865,98874.78085124095,40.471101095447366,98854.54530069324,5439727.340925076,55.01632766305953
27-28,0.0004409989323927633,98834.3097501455,43.585825083589846,98812.5168376037,5340872.795624383,54.03865124495919
28-29,0.0004712860872101309,98790.72392506192,46.558693731298696,98767.44457819627,5242060.278786779,53.062272149793785
29-30,0.000503640497535159,98744.16523133061,49.7315605058013,98719.2994510777,5143292.834208583,52.087055697511374
30-31,0.0005411445392115753,98694.43367082482,53.407953831545875,98667.72969390904,5044573.534757506,51.11305011975299
31-32,0.0005869698434244834,98641.02571699327,57.899307420333976,98612.07606328311,4945905.805063597,50.140453924857624
32-33,0.0006414343182705805,98583.12640957294,63.23460048150689,98551.50910933218,4847293.729000314,49.169608487174294
33-34,0.0007036965374292669,98519.89180909144,69.32810673396364,98485.22775572445,4748742.219890982,48.20084688169305
34-35,0.0007708537078730627,98450.56370235747,75.89098207215542,98412.61821132139,4650256.992135257,47.23443744003574
35-36,0.0008400496339186955,98374.6727202853,82.63960780554714,98333.35291638253,4551844.373923936,46.270490646169385
36-37,0.0009123560823674109,98292.03311247977,89.67733425842987,98247.19444535056,4453511.021007554,45.308972456711835
37-38,0.0009900188817210881,98202.35577822133,97.22218644993112,98153.74468499636,4355263.8265622035,44.34989152804097
38-39,0.0010736273909506052,98105.1335917714,105.32835861699411,98052.4694124629,4257110.081877207,43.393346770125326
39-40,0.0011635595894478907,97999.8052331544,114.02861314306239,97942.79092658286,4159057.6124647446,42.43944773736846
40-41,0.0012610348927465619,97885.77662001134,123.43737982142991,97824.05793010062,4061114.821538162,41.48830363070262
41-42,0.0013723525809558274,97762.3392401899,134.16439857655376,97695.25704090163,3963290.7636080612,40.54005657404278
42-43,0.0014945780190959977,97628.17484161335,145.9129241627362,97555.21837953199,3865595.5065671597,39.5950811621593
43-44,0.001628784477392469,97482.26191745061,158.77759503225056,97402.87311993449,3768040.2881876277,38.653599270998235
44-45,0.0017761503685335186,97323.48432241836,172.86114254622947,97237.05375114524,3670637.415067693,37.71584464554734
45-46,0.0019379693994787954,97150.62317987213,188.27493486288753,97056.48571244068,3573400.361316548,36.782063195832315
46-47,0.002115661677970186,96962.34824500924,205.1395243879658,96859.77848281527,3476343.8756041075,35.85251325411293
47-48,0.0023107858575589315,96757.20872062127,223.58518952848937,96645.41612585702,3379484.0971212923,34.9274657858236
48-49,0.0025250524111340646,96533.62353109279,243.7524588526939,96411.74730166644,3282838.6809954355,34.00720454607256
49-50,0.002760338129283378,96289.8710722401,265.7926025844849,96156.97477094785,3186426.933693769,33.09202617275495
50-51,0.0030187019462721456,96024.07846965562,289.86807256533865,95879.14443337296,3090269.958922821,32.182240206547476
51-52,0.003302402202896752,95734.21039709028,316.1528673079321,95576.13396343631,2994390.814489448,31.278169027238967
52-53,0.003613915461842538,95418.05752978235,344.8327934458612,95245.64113305943,2898814.6805260116,30.380147695012752
53-54,0.003955956997295068,95073.22473633649,376.1055886511169,94885.17194201093,2803569.0393929523,29.488523684433762
54-55,0.004331503086228655,94697.11914768537,410.1808638451618,94492.02871576279,2708683.8674509414,28.60365649800391
55-56,0.004743815233782268,94286.93828384021,447.27981417756973,94063.29837675142,2614191.8387351786,27.72591714523011
56-57,0.005196466469127993,93839.65846966264,487.6346387120245,93595.84115030663,2520128.540358427,26.855687472191278
57-58,0.005693369850868084,93352.02383095061,531.4875979966531,93086.28003195228,2426532.6992081203,25.99335932558122
58-59,0.006238809321805427,92820.53623295395,579.0896267051314,92530.99141960139,2333446.4191761683,25.139333534120738
59-60,0.006837473051362923,92241.44660624882,630.6984053889582,91926.09740355435,2240915.427756567,24.294018689042957
60-61,0.007494489399307721,91610.74820085986,686.575781253993,91267.46031023287,2148989.330353013,23.457829704013292
61-62,0.008215465625959957,90924.17241960586,746.9844130821284,90550.6802130648,2057721.87004278,22.631186133282593
62-63,0.009006529460771429,90177.18800652373,812.18350047028,89771.0962562886,1967171.189829715,21.81451022499618
63-64,0.009874373621908353,89365.00450605346,882.4234432162955,88923.79278444531,1877400.0935734264,21.008224684263894
