x to x + n,nqx,Ix,ndx,nLx,Tx,ex
47-48,0.0056500813968283214,91359.31327028052,516.1875563354228,91101.21949211281,2647049.5295940335,28.974052396419747
48-49,0.006134359268238116,90843.12571394509,557.2643701790594,90564.49352885556,2555948.3101019207,28.13584726433036
49-50,0.006651003120864422,90285.86134376602,600.4915455673203,89985.61557098237,2465383.8165730652,27.30642184589728
50-51,0.007207215279643077,89685.3697981987,646.3817675700175,89362.1789144137,2375398.201002083,26.485905185505427
51-52,0.007812094677164983,89038.9880306287,695.5810044542311,88691.19752840158,2286036.022087669,25.67455080802683
52-53,0.008470016189666352,88343.40702617446,748.2700877619819,87969.27198229347,2197344.8245592676,24.87276525240006
53-54,0.00918946314729323,87595.13693841248,804.9522827776455,87192.66079702367,2109375.552576974,24.08096643607123
54-55,0.009975212949230185,86790.18465563485,865.7505738429676,86357.30936871337,2022182.8917799504,23.29967265081352
55-56,0.010829756002186738,85924.43408179189,930.5406557317843,85459.163753926,1935825.582411237,22.529395777789066
56-57,0.011752325198335736,84993.8934260601,998.875875415748,84494.45548835222,1850366.418657311,21.770580733156148
57-58,0.012744325711018276,83995.01755064435,1070.459861768108,83459.78761976029,1765871.9631689587,21.02353228397429
58-59,0.013804950967515184,82924.55768887624,1144.7694528978209,82352.17296242733,1682412.1755491984,20.288467282049577
59-60,0.014942006735410615,81779.78823597843,1221.9541466424434,81168.8111626572,1600060.002586771,19.565470113101078
60-61,0.016161003189566984,80557.83408933599,1301.8954136623668,79906.8863825048,1518891.191424114,18.85466768805767
61-62,0.017482770852420202,79255.93867567362,1385.6134145602698,78563.13196839349,1438984.305041609,18.156170112755007
62-63,0.01893838276626069,77870.32526111335,1474.7380259281836,77132.95624814926,1360421.1730732156,17.470341474900437
63-64,0.02055861306160751,76395.58723518517,1570.5873175824538,75610.29357639395,1283288.2168250664,16.797936415809474
64-65,0.02235237580945856,74824.99991760272,1672.5165181009618,73988.74165855224,1207677.9232486724,16.14003240332198
65-66,0.024330894873937522,73152.48339950175,1779.8653833607368,72262.55070782139,1133689.18159012,15.497617154004121
