,P,D,E,R,RLONG,CPI,RealR,C,Unnamed: 9,RealP,P*,P*r,P*C,RealD,Return,ln(1+ret),RealE,P/E,E10,P/E10
1871.0,4.44,0.26,0.4,6.35,5.32,12.464061,1.0475042083017498,Tab),1871.0,82.0313058480699,112.01859950499382,63.65037384313813,,4.7313849610475165,0.13580891466324466,0.1273450972270519,7.279053786226949,,,
1872.0,4.86,0.3,0.43,7.81,5.36,12.654392,1.0543202085780723,in 2005,1872.0,88.44050350265744,114.29395752046128,63.96204423777618,,5.338874065123228,0.08861541746155512,0.08490662956837614,7.65238616000996,12.150000000000002,,
1873.0,5.11,0.33,0.46,8.35,5.58,12.939807,1.1335110978780967,dollars,1873.0,90.93882157593232,116.07075207439411,64.04048104988722,,6.143830459889064,0.021589701854395456,0.021359945276609713,8.564127307724151,11.88372093023256,,
1874.0,4.66,0.33,0.46,6.86,5.47,12.368896,1.1480763436327566,,1874.0,86.7583331608577,117.10605930790511,67.83171173777502,,6.600773357934676,0.12279027661468818,0.11581690552392489,9.201078014090761,10.130434782608695,,
1875.0,4.54,0.3,0.36,4.96,5.07,11.512651,1.114054758262401,,1875.0,90.81063953037402,117.72219562079219,72.6300067419008,,6.369199493849441,0.11284278830136012,0.10691781191353943,7.64303939261933,9.869565217391303,,
1876.0,4.46,0.3,0.28,5.33,4.59,10.846575,1.0441389986875944,,1876.0,94.6887658085617,118.62526828763684,76.34196431795097,,6.313803837415256,-0.14427917023813722,-0.15581108948924385,5.892883581587573,12.38888888888889,,
1877.0,3.55,0.19,0.3,5.03,4.45,10.94174,1.245205149548179,,1877.0,74.71334540941386,119.6463325243327,75.78642416319985,,4.7407927887316035,0.14883493098436967,0.13874832534709083,7.485462297997269,12.678571428571427,,
1878.0,3.25,0.18,0.31,4.9,4.34,9.2290893,1.1695687069804697,,1878.0,81.09250822830374,122.40982239339439,91.17243111686129,,5.007490444815855,0.28989611740018073,0.25456168598378826,8.624011321627306,10.833333333333334,,
1879.0,3.58,0.2,0.38,4.25,4.22,8.2776793,0.8637832936429551,,1879.0,99.59342106911535,125.06967580034971,104.05774014833051,,4.610057649143263,0.22896702684621248,0.20617400096948119,8.759109533372198,11.548387096774196,,
1880.0,5.11,0.26,0.49,5.1,4.02,9.9903306,1.1147010838820455,,1880.0,117.78697293561036,128.32662809290753,89.68909274801912,,6.356315067303828,0.33873470444496867,0.29172491746336227,11.979209165303367,13.447368421052634,8.308036056055887,
1881.0,6.19,0.32,0.44,4.79,3.7,9.4194198,0.9695528160890636,,1881.0,151.32919333311804,129.93598384451957,96.06518572434469,,7.2382516516740685,-0.06729227785584914,-0.06966339393959059,9.952596021051844,12.63265306122449,8.575390279538377,18.214797373539476
1882.0,5.92,0.32,0.43,5.26,3.62,10.18058,1.0726450341893592,,1882.0,133.90765555597028,130.71090950321724,89.5057181920675,,7.37609223862922,0.055191851127448024,0.053722599805333525,9.911623945658015,13.454545454545455,8.801314058103182,15.615342414850264
1883.0,5.81,0.33,0.4,5.35,3.63,9.9903306,1.1403956495577523,,1883.0,133.92217470761176,131.38960150241004,91.22415691622328,,8.234008527796995,0.026588697304079506,0.026241361249129604,9.980616397329692,13.511627906976742,8.942962967063735,15.216156794713225
1884.0,5.18,0.31,0.31,5.65,3.62,9.2290893,1.1779307330074986,,1884.0,129.2489823454195,131.19867238310997,97.80260194971027,,8.624011321627306,-0.020663618456051837,-0.020880098384901624,8.624011321627306,12.95,8.88525629781739,14.45259058115681
1885.0,4.24,0.24,0.27,4.22,3.52,8.2776793,1.0794227768310183,,1885.0,117.95421936677347,130.57980080848813,108.44291093172195,,6.9151144897305965,0.32884263014938037,0.28430836049212216,7.779503800946922,13.67741935483871,8.89890273865015,13.27527483880777
